"Comunidad.Autónoma","Sexo","Rama.de.enseñanza","Número.de.estudiantes"
"Asturias",0,"Ciencias de la Salud",1239.5903431162578
"Cantabria",0,"Ciencias de la Salud",659.3507673219798
"Castilla la Mancha",0,"Ciencias de la Salud",3602.4586650517704
"Castilla y León",0,"Ciencias de la Salud",1748.6181409981832
"Cataluña",0,"Ciencias de la Salud",7961.524865958672
"Extremadura",0,"Ciencias de la Salud",1217.1250904686647
"Galicia",0,"Ciencias de la Salud",3213.784928289736
"Islas Baleares",0,"Ciencias de la Salud",834.6181409981832
"Islas Canarias",0,"Ciencias de la Salud",2543.489756731607
"La Rioja",0,"Ciencias de la Salud",463.3507673219798
"Madrid",0,"Ciencias de la Salud",6214.708845989099
"Murcia",0,"Ciencias de la Salud",2152.729332525885
"Navarra",0,"Ciencias de la Salud",696.1389894096274
"País Vasco",0,"Ciencias de la Salud",1700.336868381017
"Valencia",0,"Ciencias de la Salud",4240.795533432787
"Andalucía",1,"Ciencias de la Salud",21233.11520907493
"Aragón",1,"Ciencias de la Salud",3392.3646662629426
"Asturias",1,"Ciencias de la Salud",3278.8299189105355
"Cantabria",1,"Ciencias de la Salud",1123.8299189105358
"Castilla la Mancha",1,"Ciencias de la Salud",8000.951715581289
"Castilla y León",1,"Ciencias de la Salud",5837.576444175295
"Cataluña",1,"Ciencias de la Salud",21539.976219665303
"Extremadura",1,"Ciencias de la Salud",3224.097292586739
"Galicia",1,"Ciencias de la Salud",7732.559251436421
"Islas Baleares",1,"Ciencias de la Salud",1815.5903431162578
"Islas Canarias",1,"Ciencias de la Salud",6019.461958849682
"La Rioja",1,"Ciencias de la Salud",989.3507673219798
"Madrid",1,"Ciencias de la Salud",12280.611553402361
"Murcia",1,"Ciencias de la Salud",5004.743231466848
"Navarra",1,"Ciencias de la Salud",1232.5903431162578
"País Vasco",1,"Ciencias de la Salud",4958.35076732198
"Valencia",1,"Ciencias de la Salud",9858.611553402361
"Andalucía",2,"Ciencias de la Salud",9699.600948259309
"Aragón",2,"Ciencias de la Salud",2051.0416968228883
"Asturias",2,"Ciencias de la Salud",604.7882220876476
"Cantabria",2,"Ciencias de la Salud",841.3229694400543
"Castilla la Mancha",2,"Ciencias de la Salud",3763.70153464396
"Castilla y León",2,"Ciencias de la Salud",2725.5625452343324
"Cataluña",2,"Ciencias de la Salud",9289.868321935512
"Extremadura",2,"Ciencias de la Salud",865.5486462933695
"Galicia",2,"Ciencias de la Salud",2556.1667872915527
"Islas Baleares",2,"Ciencias de la Salud",900.2951715581289
"Islas Canarias",2,"Ciencias de la Salud",1948.5903431162578
"La Rioja",2,"Ciencias de la Salud",335.0416968228882
"Madrid",2,"Ciencias de la Salud",4879.517554613532
"Murcia",2,"Ciencias de la Salud",1636.3785652039053
"Navarra",2,"Ciencias de la Salud",404.5486462933696
"País Vasco",2,"Ciencias de la Salud",1848.5347473524068
"Valencia",2,"Ciencias de la Salud",2887.9967062020887
"Andalucía",0,"Ciencias Sociales y Jurídicas",44152.47730528928
"Aragón",0,"Ciencias Sociales y Jurídicas",8253.75713040781
"Asturias",0,"Ciencias Sociales y Jurídicas",5159.024504084014
"Cantabria",0,"Ciencias Sociales y Jurídicas",3411.010605143051
"Castilla la Mancha",0,"Ciencias Sociales y Jurídicas",14943.955733128518
"Castilla y León",0,"Ciencias Sociales y Jurídicas",7752.531453554496
"Cataluña",0,"Ciencias Sociales y Jurídicas",34852.07423600136
"Extremadura",0,"Ciencias Sociales y Jurídicas",4253.4897567316075
"Galicia",0,"Ciencias Sociales y Jurídicas",13820.101310133967
"Islas Baleares",0,"Ciencias Sociales y Jurídicas",4472.277978819255
"Islas Canarias",0,"Ciencias Sociales y Jurídicas",10041.30248290327
"La Rioja",0,"Ciencias Sociales y Jurídicas",2206.0384030249766
"Madrid",0,"Ciencias Sociales y Jurídicas",45860.698964595365
"Murcia",0,"Ciencias Sociales y Jurídicas",8064.0907049909165
"Navarra",0,"Ciencias Sociales y Jurídicas",2956.7571304078106
"País Vasco",0,"Ciencias Sociales y Jurídicas",12330.573150377384
"Valencia",0,"Ciencias Sociales y Jurídicas",27572.82734886194
"Andalucía",1,"Ciencias Sociales y Jurídicas",54832.99815370072
"Aragón",1,"Ciencias Sociales y Jurídicas",8433.038403024977
"Asturias",1,"Ciencias Sociales y Jurídicas",6023.75713040781
"Cantabria",1,"Ciencias Sociales y Jurídicas",3567.0384030249766
"Castilla la Mancha",1,"Ciencias Sociales y Jurídicas",15564.111915277019
"Castilla y León",1,"Ciencias Sociales y Jurídicas",7353.0523019659395
"Cataluña",1,"Ciencias Sociales y Jurídicas",44170.18542752906
"Extremadura",1,"Ciencias Sociales y Jurídicas",4660.066200906902
"Galicia",1,"Ciencias Sociales y Jurídicas",14533.129108015894
"Islas Baleares",1,"Ciencias Sociales y Jurídicas",5004.264079878292
"Islas Canarias",1,"Ciencias Sociales y Jurídicas",13550.076806049954
"La Rioja",1,"Ciencias Sociales y Jurídicas",2243.264079878292
"Madrid",1,"Ciencias Sociales y Jurídicas",57596.73736762034
"Murcia",1,"Ciencias Sociales y Jurídicas",9733.076806049954
"Navarra",1,"Ciencias Sociales y Jurídicas",3802.2779788192547
"País Vasco",1,"Ciencias Sociales y Jurídicas",8886.024504084015
"Valencia",1,"Ciencias Sociales y Jurídicas",29848.910742507716
"Andalucía",2,"Ciencias Sociales y Jurídicas",24018.379288953223
"Aragón",2,"Ciencias Sociales y Jurídicas",3045.4202620267934
"Asturias",2,"Ciencias Sociales y Jurídicas",2959.899413615349
"Cantabria",2,"Ciencias Sociales y Jurídicas",1414.1389894096274
"Castilla la Mancha",2,"Ciencias Sociales y Jurídicas",7387.330280785194
"Castilla y León",2,"Ciencias Sociales y Jurídicas",2921.406363085831
"Cataluña",2,"Ciencias Sociales y Jurídicas",18632.46597639691
"Extremadura",2,"Ciencias Sociales y Jurídicas",1480.1250904686647
"Galicia",2,"Ciencias Sociales y Jurídicas",6787.628746141235
"Islas Baleares",2,"Ciencias Sociales y Jurídicas",1770.632039939146
"Islas Canarias",2,"Ciencias Sociales y Jurídicas",4475.545352495458
"La Rioja",2,"Ciencias Sociales y Jurídicas",1113.15288835059
"Madrid",2,"Ciencias Sociales y Jurídicas",27535.017916488192
"Murcia",2,"Ciencias Sociales y Jurídicas",5131.305776701181
"Navarra",2,"Ciencias Sociales y Jurídicas",1859.6181409981832
"País Vasco",2,"Ciencias Sociales y Jurídicas",3402.1389894096274
"Valencia",2,"Ciencias Sociales y Jurídicas",16544.934522842414
"Andalucía",0,"Ingeniería y Arquitectura",33595.41038063306
"Aragón",0,"Ingeniería y Arquitectura",10903.843817851499
"Asturias",0,"Ingeniería y Arquitectura",4669.1111915277015
"Cantabria",0,"Ingeniería y Arquitectura",3662.8299189105355
"Castilla la Mancha",0,"Ingeniería y Arquitectura",9914.951715581288
"Castilla y León",0,"Ingeniería y Arquitectura",4697.885514674386
"Cataluña",0,"Ingeniería y Arquitectura",34956.76444175295
"Extremadura",0,"Ingeniería y Arquitectura",4022.111191527702
"Galicia",0,"Ingeniería y Arquitectura",10398.812726171662
"Islas Baleares",0,"Ingeniería y Arquitectura",1671.6042420572205
"Islas Canarias",0,"Ingeniería y Arquitectura",6510.75713040781
"La Rioja",0,"Ingeniería y Arquitectura",1220.35076732198
"Madrid",0,"Ingeniería y Arquitectura",42570.51096701771
"Murcia",0,"Ingeniería y Arquitectura",7659.701534643959
"Navarra",0,"Ingeniería y Arquitectura",2837.111191527702
