"Comunidad.Autónoma","Sexo","Rama.de.enseñanza","Número.de.estudiantes"
"Andalucía",1,"Ciencias Sociales y Jurídicas",85210
"Aragón",1,"Ciencias Sociales y Jurídicas",13648
"Asturias",1,"Ciencias Sociales y Jurídicas",8070
"Cantabria",1,"Ciencias Sociales y Jurídicas",4214
"Castilla la Mancha",1,"Ciencias Sociales y Jurídicas",22866
"Castilla y León",1,"Ciencias Sociales y Jurídicas",11362
"Cataluña",1,"Ciencias Sociales y Jurídicas",65182
"Extremadura",1,"Ciencias Sociales y Jurídicas",5904
"Galicia",1,"Ciencias Sociales y Jurídicas",22224
"Islas Baleares",1,"Ciencias Sociales y Jurídicas",7576
"Islas Canarias",1,"Ciencias Sociales y Jurídicas",20210
"La Rioja",1,"Ciencias Sociales y Jurídicas",2340
"Madrid",1,"Ciencias Sociales y Jurídicas",89358
"Murcia",1,"Ciencias Sociales y Jurídicas",15276
"Navarra",1,"Ciencias Sociales y Jurídicas",5648
"País Vasco",1,"Ciencias Sociales y Jurídicas",15932
"Valencia",1,"Ciencias Sociales y Jurídicas",53882
"Andalucía",0,"Ingeniería y Arquitectura",68348
"Aragón",0,"Ingeniería y Arquitectura",16868
"Asturias",0,"Ingeniería y Arquitectura",8106
"Cantabria",0,"Ingeniería y Arquitectura",5402
"Castilla la Mancha",0,"Ingeniería y Arquitectura",18564
"Castilla y León",0,"Ingeniería y Arquitectura",8896
"Cataluña",0,"Ingeniería y Arquitectura",72392
"Extremadura",0,"Ingeniería y Arquitectura",5070
"Galicia",0,"Ingeniería y Arquitectura",19160
"Islas Baleares",0,"Ingeniería y Arquitectura",2116
"Islas Canarias",0,"Ingeniería y Arquitectura",11520
"La Rioja",0,"Ingeniería y Arquitectura",1572
"Madrid",0,"Ingeniería y Arquitectura",78486
"Murcia",0,"Ingeniería y Arquitectura",11148
"Navarra",0,"Ingeniería y Arquitectura",5408
"País Vasco",0,"Ingeniería y Arquitectura",20980
"Valencia",0,"Ingeniería y Arquitectura",49014
"Andalucía",1,"Ingeniería y Arquitectura",25166
"Aragón",1,"Ingeniería y Arquitectura",5822
"Asturias",1,"Ingeniería y Arquitectura",3130
"Cantabria",1,"Ingeniería y Arquitectura",1844
"Castilla la Mancha",1,"Ingeniería y Arquitectura",7768
"Castilla y León",1,"Ingeniería y Arquitectura",3028
"Cataluña",1,"Ingeniería y Arquitectura",27504
"Extremadura",1,"Ingeniería y Arquitectura",1786
"Galicia",1,"Ingeniería y Arquitectura",8438
"Islas Baleares",1,"Ingeniería y Arquitectura",548
"Islas Canarias",1,"Ingeniería y Arquitectura",4062
"La Rioja",1,"Ingeniería y Arquitectura",472
"Madrid",1,"Ingeniería y Arquitectura",35944
"Murcia",1,"Ingeniería y Arquitectura",4092
"Navarra",1,"Ingeniería y Arquitectura",1676
"País Vasco",1,"Ingeniería y Arquitectura",8386
"Valencia",1,"Ingeniería y Arquitectura",22452
