"Comunidad.Autónoma","Sexo","Rama.de.enseñanza","Número.de.estudiantes"
"Andalucía",1,"Ciencias Sociales y Jurídicas",45611
"Aragón",1,"Ciencias Sociales y Jurídicas",7250
"Asturias",1,"Ciencias Sociales y Jurídicas",4969
"Cantabria",1,"Ciencias Sociales y Jurídicas",2384
"Castilla la Mancha",1,"Ciencias Sociales y Jurídicas",11003
"Castilla y León",1,"Ciencias Sociales y Jurídicas",6113
"Cataluña",1,"Ciencias Sociales y Jurídicas",36231
"Extremadura",1,"Ciencias Sociales y Jurídicas",3363
"Galicia",1,"Ciencias Sociales y Jurídicas",10927
"Islas Baleares",1,"Ciencias Sociales y Jurídicas",3921
"Islas Canarias",1,"Ciencias Sociales y Jurídicas",11184
"La Rioja",1,"Ciencias Sociales y Jurídicas",1160
"Madrid",1,"Ciencias Sociales y Jurídicas",50470
"Murcia",1,"Ciencias Sociales y Jurídicas",7367
"Navarra",1,"Ciencias Sociales y Jurídicas",2662
"País Vasco",1,"Ciencias Sociales y Jurídicas",7760
"Valencia",1,"Ciencias Sociales y Jurídicas",24062
"Andalucía",0,"Ingeniería y Arquitectura",29861
"Aragón",0,"Ingeniería y Arquitectura",10519
"Asturias",0,"Ingeniería y Arquitectura",4213
"Cantabria",0,"Ingeniería y Arquitectura",3335
"Castilla la Mancha",0,"Ingeniería y Arquitectura",8062
"Castilla y León",0,"Ingeniería y Arquitectura",4142
"Cataluña",0,"Ingeniería y Arquitectura",31821
"Extremadura",0,"Ingeniería y Arquitectura",3566
"Galicia",0,"Ingeniería y Arquitectura",9116
"Islas Baleares",0,"Ingeniería y Arquitectura",1244
"Islas Canarias",0,"Ingeniería y Arquitectura",5456
"La Rioja",0,"Ingeniería y Arquitectura",807
"Madrid",0,"Ingeniería y Arquitectura",39449
"Murcia",0,"Ingeniería y Arquitectura",6833
"Navarra",0,"Ingeniería y Arquitectura",2381
"País Vasco",0,"Ingeniería y Arquitectura",9475
"Valencia",0,"Ingeniería y Arquitectura",31709
"Andalucía",1,"Ingeniería y Arquitectura",13521
